,m
856,0.86635
857,0.78118
858,1.0011
859,1.0013
860,0.8124
861,0.9383600000000001
862,1.0009
863,1.0013
864,0.99969
865,0.8710899999999999
866,0.8319200000000001
867,0.99885
868,1.001
869,1.0011
870,0.99829
871,0.8555299999999999
872,1.001
873,0.88244
874,0.9997799999999999
875,0.9984299999999999
876,0.8445799999999999
877,0.99989
878,0.9171600000000001
879,0.9999899999999999
880,1.0012
881,0.82929
882,1.0017
883,1.0022
884,0.8134
885,0.8439
886,0.86555
887,1.0012
888,0.8367600000000001
889,0.9998
890,0.8589600000000001
891,0.99965
892,0.8566799999999999
893,0.83429
894,0.7511
895,0.73956
896,0.89413
897,0.81845
898,1.0003
899,1.0007
900,1.0012
901,0.7964100000000001
902,1.0013
903,1.0
904,0.9997799999999999
905,0.8280700000000001
906,0.99955
907,0.78222
908,0.80538
909,1.0003
910,0.9997
911,0.99898
912,0.8551700000000001
913,1.0004
914,0.9993799999999999
915,0.84683
916,0.81691
917,0.877
918,0.9999
919,0.7377199999999999
920,0.78322
921,1.0003
922,0.88469
923,0.87087
924,0.85211
925,0.8295299999999999
926,0.99889
927,0.9997799999999999
928,0.99992
929,0.899
930,0.88266
931,0.9995200000000001
932,0.99913
933,0.80566
934,0.85077
935,0.9154100000000001
936,0.8494700000000001
937,0.80495
938,0.99802
939,0.9998100000000001
940,0.8586299999999999
941,0.90638
942,0.9083899999999999
943,1.0027
944,0.9990399999999999
945,1.0026
946,1.0006
947,1.0008
948,0.8923399999999999
949,0.9993299999999999
950,0.8542799999999999
951,0.81315
952,0.75672
953,1.0014
954,0.78996
955,0.9991399999999999
956,0.9999100000000001
957,1.002
958,0.99956
959,0.84954
960,0.7852899999999999
961,0.8829
962,0.86744
963,0.81517
964,0.8258700000000001
965,1.0006
966,0.8075600000000001
967,1.0008
968,0.9996299999999999
969,0.89922
970,0.8408100000000001
971,0.99887
972,0.84931
973,0.73248
974,0.87785
975,0.77317
976,0.9999100000000001
977,1.0007
978,0.89544
979,0.83604
980,0.99977
981,1.0013
982,0.9979
983,0.7788
984,0.8684200000000001
985,0.99884
986,1.0006
987,1.0007
988,0.8729399999999999
989,0.7488
990,0.8701700000000001
991,1.001
992,0.80455
993,0.8592299999999999
994,1.0014
995,1.0005
996,0.87592
997,1.0001
998,0.99795
999,1.0008
1000,0.77308
1001,1.0012
1002,0.89002
1003,1.0008
1004,0.8984200000000001
1005,0.97909
1006,0.99956
1007,0.85209
1008,1.0007
1009,0.9991899999999999
1010,1.0012
1011,0.99931
1012,0.99887
1013,0.79795
1014,0.9999899999999999
1015,0.76071
1016,0.86024
1017,1.0005
1018,1.0007
1019,0.86606
1020,0.8056399999999999
1021,0.9161100000000001
1022,1.0012
1023,0.88531
1024,0.83947
1025,0.84635
1026,0.80038
1027,0.99977
1028,0.91958
1029,1.0011
1030,1.0014
